,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14793477807022698,0.4226729431666545,0.9204718174090273,0.9329111883451087
Sequence F1 triggers micro,0.5193736618129033,0.8207899369507342,0.6915169212130319,0.6620326417970575
Unrolled Sequence F1 emotions micro,0.1450210378681627,0.4319775596072931,0.929593267882188,0.9405329593267883
Unrolled Sequence F1 triggers micro,0.508555399719495,0.856100981767181,0.6987377279102385,0.6678821879382889
Unrolled Sequence F1 emotions macro,0.1230621792522378,0.08619000979431928,0.9107713139240413,0.9233354754753478
Unrolled Sequence F1 triggers macro,0.4338500027193125,0.4612362097627324,0.5501246412803273,0.544210981887479
