,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15629871796870215,0.4274041884916582,0.936562334938883,0.9149324737977023
Sequence F1 triggers micro,0.49713662477527476,0.8153699784729785,0.6819775121300942,0.6569158465994641
Unrolled Sequence F1 emotions micro,0.15376226826608505,0.4375681570338059,0.9446564885496184,0.9255725190839694
Unrolled Sequence F1 triggers micro,0.49781897491821153,0.854143947655398,0.683206106870229,0.6616684841875682
Unrolled Sequence F1 emotions macro,0.12743575141111946,0.08696594511121346,0.932587075092635,0.9126090133976659
Unrolled Sequence F1 triggers macro,0.4236270350836964,0.46066754888986916,0.5291732117331779,0.534529904129473
