,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14673833668929745,0.4362143361165016,0.9144755389631382,0.9202937454958966
Sequence F1 triggers micro,0.5119690315232658,0.8120082950287513,0.654750010455287,0.6451737540411234
Unrolled Sequence F1 emotions micro,0.1449645390070922,0.44851063829787235,0.9302127659574468,0.9321985815602837
Unrolled Sequence F1 triggers micro,0.513758865248227,0.8513475177304964,0.668936170212766,0.6533333333333333
Unrolled Sequence F1 emotions macro,0.1208967477928566,0.08846734933691457,0.9087008706360098,0.9161591637480718
Unrolled Sequence F1 triggers macro,0.4410964697733175,0.4598528961078762,0.5377239319584646,0.5240831567056927
