,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15051778072895905,0.4391431866963819,0.8901525210652744,0.9216990420177928
Sequence F1 triggers micro,0.5082407463173296,0.8076212035802999,0.6541654832338807,0.6506823255644051
Unrolled Sequence F1 emotions micro,0.14451827242524917,0.4543189368770764,0.9017165005537099,0.9299557032115172
Unrolled Sequence F1 triggers micro,0.5105204872646734,0.842469545957918,0.6614064230343301,0.6489479512735327
Unrolled Sequence F1 emotions macro,0.11886330118036377,0.08925511952353758,0.8772744117326771,0.9148753600519424
Unrolled Sequence F1 triggers macro,0.4419665935789793,0.45725018782870025,0.5331890887706401,0.5350048732943469
