,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.1492116793800567,0.424671419276346,0.9204089387564619,0.9177869262230718
Sequence F1 triggers micro,0.5126785772295935,0.7882678378697737,0.6551542808761099,0.6664000774416837
Unrolled Sequence F1 emotions micro,0.14899061700312766,0.43161785612738135,0.9260733579755474,0.931191356269548
Unrolled Sequence F1 triggers micro,0.5063974978675007,0.8313903895365368,0.6593687802104066,0.6698891100369633
Unrolled Sequence F1 emotions macro,0.12613540583669144,0.08613987799687899,0.9083721473526346,0.9110399571815819
Unrolled Sequence F1 triggers macro,0.44270237745774565,0.4539667753454433,0.5422467485285375,0.543608662280959
