,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14793477807022698,0.4226729431666545,0.943593933296236,0.9436238496088535
Sequence F1 triggers micro,0.5193736618129033,0.8207899369507342,0.8178750911648551,0.8205401177340031
Unrolled Sequence F1 emotions micro,0.1450210378681627,0.4319775596072931,0.9511921458625526,0.9514726507713885
Unrolled Sequence F1 triggers micro,0.508555399719495,0.856100981767181,0.8502103786816271,0.8496493688639551
Unrolled Sequence F1 emotions macro,0.1230621792522378,0.08619000979431928,0.9445684284609509,0.9394608389254614
Unrolled Sequence F1 triggers macro,0.4338500027193125,0.4612362097627324,0.5066319390452495,0.5108106834989872
