,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15629871796870215,0.4274041884916582,0.9272979507914687,0.9481810372971954
Sequence F1 triggers micro,0.49713662477527476,0.8153699784729785,0.8089060765483189,0.8184041535809355
Unrolled Sequence F1 emotions micro,0.15376226826608505,0.4375681570338059,0.935659760087241,0.9525627044711014
Unrolled Sequence F1 triggers micro,0.49781897491821153,0.854143947655398,0.8476008724100327,0.8546892039258451
Unrolled Sequence F1 emotions macro,0.12743575141111946,0.08696594511121346,0.9190933214493195,0.946407943607975
Unrolled Sequence F1 triggers macro,0.4236270350836964,0.46066754888986916,0.5009918531993988,0.5297914317179928
