,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14673833668929745,0.4362143361165016,0.9421248604308825,0.9392980419922766
Sequence F1 triggers micro,0.5119690315232658,0.8120082950287513,0.80163517371198,0.8039197983291108
Unrolled Sequence F1 emotions micro,0.1449645390070922,0.44851063829787235,0.9526241134751773,0.953758865248227
Unrolled Sequence F1 triggers micro,0.513758865248227,0.8513475177304964,0.8405673758865249,0.8451063829787234
Unrolled Sequence F1 emotions macro,0.1208967477928566,0.08846734933691457,0.9411114817241016,0.9406444384564698
Unrolled Sequence F1 triggers macro,0.4410964697733175,0.4598528961078762,0.5302674633660549,0.5281915738567168
