,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.1492116793800567,0.424671419276346,0.9376201823202598,0.9382387350351746
Sequence F1 triggers micro,0.5126785772295935,0.7882678378697737,0.7857649279147926,0.7849070923808733
Unrolled Sequence F1 emotions micro,0.14899061700312766,0.43161785612738135,0.9465453511515496,0.9465453511515496
Unrolled Sequence F1 triggers micro,0.5063974978675007,0.8313903895365368,0.8245663918112026,0.8254193915268694
Unrolled Sequence F1 emotions macro,0.12613540583669144,0.08613987799687899,0.9313319306791635,0.9316859304463786
Unrolled Sequence F1 triggers macro,0.44270237745774565,0.4539667753454433,0.5161054092776667,0.48945593992926184
