,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15051778072895905,0.4391431866963819,0.9224181966806395,0.9420363013753906
Sequence F1 triggers micro,0.5082407463173296,0.8076212035802999,0.8033202540605623,0.8043793531824138
Unrolled Sequence F1 emotions micro,0.14451827242524917,0.4543189368770764,0.9357696566998892,0.9521040974529347
Unrolled Sequence F1 triggers micro,0.5105204872646734,0.842469545957918,0.8363787375415282,0.8372093023255814
Unrolled Sequence F1 emotions macro,0.11886330118036377,0.08925511952353758,0.9256971463719739,0.9421022131563394
Unrolled Sequence F1 triggers macro,0.4419665935789793,0.45725018782870025,0.4824204879527201,0.4973888003816696
