,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15629871796870215,0.4274041884916582,0.9460434052961142,0.931714176819053
Sequence F1 triggers micro,0.49713662477527476,0.8153699784729785,0.8221204754535074,0.8174435795043001
Unrolled Sequence F1 emotions micro,0.15376226826608505,0.4375681570338059,0.9492911668484187,0.9378407851690295
Unrolled Sequence F1 triggers micro,0.49781897491821153,0.854143947655398,0.8552344601962922,0.8519629225736096
Unrolled Sequence F1 emotions macro,0.12743575141111946,0.08696594511121346,0.9319481521964136,0.9192406054665724
Unrolled Sequence F1 triggers macro,0.4236270350836964,0.46066754888986916,0.540959590138956,0.5138274478042679
