,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15051778072895905,0.4391431866963819,0.9419378028736791,0.9295753870065226
Sequence F1 triggers micro,0.5082407463173296,0.8076212035802999,0.8082386252061007,0.8094582958900329
Unrolled Sequence F1 emotions micro,0.14451827242524917,0.4543189368770764,0.9496124031007752,0.9413067552602437
Unrolled Sequence F1 triggers micro,0.5105204872646734,0.842469545957918,0.8385935769656699,0.8380398671096345
Unrolled Sequence F1 emotions macro,0.11886330118036377,0.08925511952353758,0.9391464823889767,0.926506681696049
Unrolled Sequence F1 triggers macro,0.4419665935789793,0.45725018782870025,0.5441146448415125,0.5425507156642965
