,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14673833668929745,0.4362143361165016,0.9366387776922044,0.933117327318103
Sequence F1 triggers micro,0.5119690315232658,0.8120082950287513,0.8018361233111873,0.8100788228593621
Unrolled Sequence F1 emotions micro,0.1449645390070922,0.44851063829787235,0.9452482269503546,0.9460992907801419
Unrolled Sequence F1 triggers micro,0.513758865248227,0.8513475177304964,0.8394326241134752,0.8510638297872339
Unrolled Sequence F1 emotions macro,0.1208967477928566,0.08846734933691457,0.9296523954239718,0.9267062237024492
Unrolled Sequence F1 triggers macro,0.4410964697733175,0.4598528961078762,0.5633113699479252,0.5166820275053468
