,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.1492116793800567,0.424671419276346,0.8930070287254884,0.9321445193168507
Sequence F1 triggers micro,0.5126785772295935,0.7882678378697737,0.7863601847643652,0.7905499150402402
Unrolled Sequence F1 emotions micro,0.14899061700312766,0.43161785612738135,0.9078760307079897,0.9411430196189935
Unrolled Sequence F1 triggers micro,0.5063974978675007,0.8313903895365368,0.8231447256184248,0.8308217230594257
Unrolled Sequence F1 emotions macro,0.12613540583669144,0.08613987799687899,0.8764176150843461,0.9271423656240737
Unrolled Sequence F1 triggers macro,0.44270237745774565,0.4539667753454433,0.5223228713025219,0.5345247953967978
