,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.1492116793800567,0.424671419276346,0.9349582039799725,0.927656663350839
Sequence F1 triggers micro,0.5126785772295935,0.7882678378697737,0.7828520570239427,0.7912311898772433
Unrolled Sequence F1 emotions micro,0.14899061700312766,0.43161785612738135,0.9476826841057719,0.9382996872334376
Unrolled Sequence F1 triggers micro,0.5063974978675007,0.8313903895365368,0.8200170599943133,0.8296843901052033
Unrolled Sequence F1 emotions macro,0.12613540583669144,0.08613987799687899,0.9319773891402073,0.917251788834595
Unrolled Sequence F1 triggers macro,0.44270237745774565,0.4539667753454433,0.5084745089129884,0.5012555714726397
