,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14793477807022698,0.4226729431666545,0.919340663797417,0.9312224161824588
Sequence F1 triggers micro,0.5193736618129033,0.8207899369507342,0.8249003184960034,0.8142486106299961
Unrolled Sequence F1 emotions micro,0.1450210378681627,0.4319775596072931,0.9284712482468443,0.9380084151472651
Unrolled Sequence F1 triggers micro,0.508555399719495,0.856100981767181,0.8544179523141656,0.8423562412342216
Unrolled Sequence F1 emotions macro,0.1230621792522378,0.08619000979431928,0.9063158207468571,0.9231019935043528
Unrolled Sequence F1 triggers macro,0.4338500027193125,0.4612362097627324,0.5368531693117335,0.545588360704222
