,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.1492116793800567,0.424671419276346,0.9356558389151268,0.9377024031684652
Sequence F1 triggers micro,0.5126785772295935,0.7882678378697737,0.7916645515040066,0.787165271576418
Unrolled Sequence F1 emotions micro,0.14899061700312766,0.43161785612738135,0.944839351720216,0.9468296843901052
Unrolled Sequence F1 triggers micro,0.5063974978675007,0.8313903895365368,0.8299687233437589,0.8282627239124254
Unrolled Sequence F1 emotions macro,0.12613540583669144,0.08613987799687899,0.9299032955467194,0.9330629025908534
Unrolled Sequence F1 triggers macro,0.44270237745774565,0.4539667753454433,0.5327610200157111,0.5017993001679222
