,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14793477807022698,0.4226729431666545,0.9443322563444468,0.9467864732876343
Sequence F1 triggers micro,0.5193736618129033,0.8207899369507342,0.8178896585118528,0.812544168217833
Unrolled Sequence F1 emotions micro,0.1450210378681627,0.4319775596072931,0.9534361851332398,0.9517531556802244
Unrolled Sequence F1 triggers micro,0.508555399719495,0.856100981767181,0.844319775596073,0.8415147265077139
Unrolled Sequence F1 emotions macro,0.1230621792522378,0.08619000979431928,0.9452543473160062,0.9426319193536778
Unrolled Sequence F1 triggers macro,0.4338500027193125,0.4612362097627324,0.5598539264279846,0.5276638693139861
