,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.14673833668929745,0.4362143361165016,0.9416645263888122,0.9428942770051139
Sequence F1 triggers micro,0.5119690315232658,0.8120082950287513,0.8000522245651552,0.8138899619014793
Unrolled Sequence F1 emotions micro,0.1449645390070922,0.44851063829787235,0.9520567375886525,0.9534751773049646
Unrolled Sequence F1 triggers micro,0.513758865248227,0.8513475177304964,0.841418439716312,0.8530496453900709
Unrolled Sequence F1 emotions macro,0.1208967477928566,0.08846734933691457,0.9422239511896987,0.9377698256529972
Unrolled Sequence F1 triggers macro,0.4410964697733175,0.4598528961078762,0.5121148338532473,0.5072213214386725
