,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15629871796870215,0.4274041884916582,0.9511413769194342,0.9558513987984391
Sequence F1 triggers micro,0.49713662477527476,0.8153699784729785,0.81508782980809,0.8139976590214425
Unrolled Sequence F1 emotions micro,0.15376226826608505,0.4375681570338059,0.9536532170119957,0.9599236641221374
Unrolled Sequence F1 triggers micro,0.49781897491821153,0.854143947655398,0.8519629225736096,0.8481461286804798
Unrolled Sequence F1 emotions macro,0.12743575141111946,0.08696594511121346,0.9499176447455985,0.9555839089733305
Unrolled Sequence F1 triggers macro,0.4236270350836964,0.46066754888986916,0.5167124907096212,0.5584813273506861
