,Random Classifier,Majority Classifier,Bert Full,Bert Freezed
Sequence F1 emotions micro,0.15051778072895905,0.4391431866963819,0.946049851382147,0.9466333724007705
Sequence F1 triggers micro,0.5082407463173296,0.8076212035802999,0.8053205043337632,0.8091070526023162
Unrolled Sequence F1 emotions micro,0.14451827242524917,0.4543189368770764,0.9568106312292359,0.9521040974529347
Unrolled Sequence F1 triggers micro,0.5105204872646734,0.842469545957918,0.8372093023255814,0.8413621262458472
Unrolled Sequence F1 emotions macro,0.11886330118036377,0.08925511952353758,0.9466951294467878,0.941719415354333
Unrolled Sequence F1 triggers macro,0.4419665935789793,0.45725018782870025,0.5264606913429183,0.5149774733869598
